region,species_id,seed,auc_additive,auc_deep2,delta_auc
AWT,awt21,0,0.5689024390243902,0.6487804878048781,0.07987804878048788
AWT,awt21,1,0.5713414634146341,0.6310975609756098,0.05975609756097566
AWT,awt21,2,0.5695121951219512,0.6164634146341463,0.046951219512195164
AWT,awt22,0,0.6732542819499341,0.6613965744400527,-0.011857707509881354
AWT,awt22,1,0.6732542819499341,0.6376811594202898,-0.035573122529644285
AWT,awt22,2,0.6732542819499341,0.6622749231444884,-0.01097935880544565
AWT,awt23,0,0.6487889273356402,0.634515570934256,-0.014273356401384163
AWT,awt23,1,0.647923875432526,0.6410034602076125,-0.006920415224913601
AWT,awt23,2,0.6479238754325259,0.639273356401384,-0.00865051903114189
AWT,awt24,0,0.4972839506172839,0.5822222222222222,0.08493827160493828
AWT,awt24,1,0.4972839506172839,0.6034567901234568,0.10617283950617284
AWT,awt24,2,0.4967901234567901,0.6024691358024691,0.105679012345679
AWT,awt25,0,0.5224358974358975,0.4930555555555556,-0.029380341880341887
AWT,awt25,1,0.5219017094017094,0.4834401709401709,-0.03846153846153855
AWT,awt25,2,0.5224358974358975,0.4893162393162393,-0.03311965811965817
AWT,awt26,0,0.6911337209302325,0.6751453488372092,-0.015988372093023284
AWT,awt26,1,0.6911337209302325,0.6773255813953488,-0.01380813953488369
AWT,awt26,2,0.6911337209302325,0.6787790697674418,-0.012354651162790664
AWT,awt27,0,0.7254320987654319,0.7101234567901235,-0.015308641975308457
AWT,awt27,1,0.7254320987654319,0.7051851851851851,-0.020246913580246773
AWT,awt27,2,0.7254320987654319,0.7037037037037037,-0.02172839506172819
AWT,awt28,0,0.7930194805194805,0.7459415584415585,-0.04707792207792194
AWT,awt28,1,0.7930194805194805,0.734577922077922,-0.058441558441558406
AWT,awt28,2,0.7930194805194805,0.7662337662337662,-0.0267857142857143
AWT,awt29,0,0.8367816091954023,0.8375478927203066,0.0007662835249042654
AWT,awt29,1,0.8352490421455938,0.8298850574712644,-0.005363984674329414
AWT,awt29,2,0.8352490421455938,0.8168582375478927,-0.01839080459770115
AWT,awt30,0,0.580149319279754,0.5823451910408433,0.002195871761089263
AWT,awt30,1,0.5805884936319718,0.5920070267896356,0.011418533157663724
AWT,awt30,2,0.580149319279754,0.577953447518665,-0.002195871761089041
AWT,awt31,0,0.6923387096774194,0.7358870967741936,0.04354838709677422
AWT,awt31,1,0.6923387096774194,0.7278225806451613,0.03548387096774186
AWT,awt31,2,0.6919354838709676,0.7346774193548387,0.04274193548387106
AWT,awt32,0,0.567398119122257,0.5913009404388715,0.023902821316614475
AWT,awt32,1,0.5670062695924765,0.5940438871473355,0.027037617554859006
AWT,awt32,2,0.5677899686520376,0.5975705329153604,0.029780564263322873
AWT,awt33,0,0.7019230769230769,0.6757478632478633,-0.026175213675213582
AWT,awt33,1,0.7008547008547009,0.6784188034188035,-0.022435897435897467
AWT,awt33,2,0.701388888888889,0.6757478632478633,-0.02564102564102566
AWT,awt34,0,0.8973180076628353,0.8919540229885057,-0.005363984674329636
AWT,awt34,1,0.8973180076628353,0.9019157088122606,0.0045977011494252595
AWT,awt34,2,0.8973180076628353,0.8996168582375479,0.0022988505747125743
AWT,awt35,0,0.6611538461538462,0.67,0.008846153846153837
AWT,awt35,1,0.6611538461538462,0.6615384615384615,0.00038461538461531664
AWT,awt35,2,0.6611538461538462,0.6646153846153846,0.003461538461538405
AWT,awt36,0,0.4036908881199538,0.4221453287197232,0.018454440599769417
AWT,awt36,1,0.4036908881199538,0.4202229911572472,0.01653210303729341
AWT,awt36,2,0.404075355632449,0.4232987312572088,0.019223375624759786
AWT,awt37,0,0.8336272780717225,0.7630805408583187,-0.07054673721340388
AWT,awt37,1,0.8336272780717225,0.763668430335097,-0.06995884773662553
AWT,awt37,2,0.8342151675485009,0.763668430335097,-0.07054673721340388
AWT,awt38,0,0.7572674418604651,0.7521802325581396,-0.005087209302325535
AWT,awt38,1,0.7572674418604651,0.7398255813953487,-0.01744186046511642
AWT,awt38,2,0.7572674418604651,0.7354651162790697,-0.021802325581395388
AWT,awt39,0,0.7575892857142856,0.7616071428571429,0.004017857142857295
AWT,awt39,1,0.7575892857142856,0.7598214285714286,0.0022321428571430157
AWT,awt39,2,0.7575892857142856,0.7607142857142858,0.0031250000000001554
AWT,awt40,0,0.7523056653491437,0.7720685111989459,0.019762845849802257
AWT,awt40,1,0.7527448397013614,0.7725076855511638,0.01976284584980237
